201607262					
TV	active	Directv 10	31862	1 31862U 07032A   16201.45881058 -.00000107  00000-0  00000+0 0  9999	2 31862   0.0096 286.1254 0000494 203.1721 230.7068  1.00270403 33119
TV	active	Spaceway 3	32018	1 32018U 07036A   16202.07406172 -.00000156  00000-0  00000+0 0  9990	2 32018   0.0161 222.8180 0001194 174.6063 192.5707  1.00268641 32834
TV	active	BSat 3A	32019	1 32019U 07036B   16201.86685071 -.00000355  00000-0  00000+0 0  9995	2 32019   0.0183 214.9563 0003345 322.7844 182.2608  1.00269579 32779
TV	active	Directv 11	32729	1 32729U 08013A   16201.31773762 -.00000130  00000-0  00000+0 0  9995	2 32729   0.0146 215.5900 0000217 272.9918 184.1408  1.00271760 30638
TV	active	ICO G1	32763	1 32763U 08016A   16202.32274946 -.00000171  00000-0  00000+0 0  9993	2 32763   3.9746 351.1342 0002933 134.7250 195.9916  1.00270960 30176
TV	active	Amos 3	32794	1 32794U 08022A   16202.19178602 -.00000040  00000-0  00000+0 0  9996	2 32794   0.0087 290.8612 0001801 162.4386 270.1119  1.00272370 30163
TV	active	Galaxy 18	32951	1 32951U 08024A   16201.51475491  .00000021  00000-0  00000+0 0  9992	2 32951   0.0129  61.6229 0002980  64.5464 233.8548  1.00272973 29799
TV	active	ChinaSat 9	33051	1 33051U 08028A   16201.79553819 -.00000253  00000-0  00000+0 0  9997	2 33051   0.0058 330.8758 0004092 146.6970 199.0501  1.00272949 29717
TV	active	Turksat 3A	33056	1 33056U 08030B   16201.79080956  .00000141  00000-0  00000+0 0  9997	2 33056   0.0486 194.9943 0005465 296.1808 133.5081  1.00274283 29784
TV	active	Echostar 11	33207	1 33207U 08035A   16201.47870207 -.00000061  00000-0  00000+0 0  9993	2 33207   0.0527 250.5953 0003411 242.1232 227.3067  1.00271663 29368
TV	active	Superbird C2	33274	1 33274U 08038A   16200.50014145 -.00000255 +00000-0 +00000-0 0  9990	2 33274 000.0095 059.0951 0001690 078.2447 123.3685 01.00270140069426
